Row,Quantity Per PCB,References,Value,Datasheet,Footprint,Description,Manufacturer,Manufacturer Part Number,Supplier 1,Supplier Part Number 1
11,5,C2 C6 C9 C24 C26,1u X7R 10V,https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GRM155Z71A105KE01-01A.pdf,C_0402_1005_DensityHigh,Unpolarized capacitor,Murata Electronics,GRM155Z71A105KE01J,Digikey,490-GRM155Z71A105KE01JCT-ND
12,3,C60 C88 C93,1u X7R 25V,https://mm.digikey.com/Volume0/opasdata/d220001/medias/docus/2146/TMK107AB7105KAHT_SS.pdf,C_0603_1608_DensityHigh,Unpolarized capacitor,Taiyo Yuden,TMK107AB7105KAHT,Digikey,587-3467-1-ND
13,1,C94,1u X7R 6.3V,https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GRT155R70J105KE01-01.pdf,C_0402_1005_DensityHigh,Unpolarized capacitor,Murata Electronics,GRT155R70J105KE01D,Digikey,490-18216-1-ND
14,7,C15 C16 C17 C18 C20 C45 C52,2u2 X7R 100V,https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/catalog/mlcc_automotive_midvoltage_en.pdf,R_0805_2012_DensityHigh,Unpolarized capacitor,TDK Corporation,CGA4J1X7R2A225K125AC,Mouser,810-CGA4J7R2A225K125
15,3,C1 C84 C110,4u7 X7R 16V,https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GRM188Z71C475KE21-01A.pdf,C_0603_1608_DensityHigh,Unpolarized capacitor,Murata Electronics,GRM188Z71C475KE21J,Digikey,490-GRM188Z71C475KE21JCT-ND
16,54,C19 C21 C31 C32 C33 C34 C35 C36 C39 C40 C41 C42 C43 C44 C46 C47 C48 C49 C50 C51 C53 C54 C55 C57 C58 C59 C61 C62 C63 C64 C65 C66 C67 C68 C69 C70 C71 C72 C73 C74 C75 C77 C78 C79 C80 C81 C82 C85 C86 C87 C89 C96 C98 C100,4u7 X7R 100V,https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GRJ31CZ72A475KE01-01.pdf,C_1206_3216_DensityHigh,Unpolarized capacitor,Murata Electronics,GRJ31CZ72A475KE01L,Digikey,490-GRJ31CZ72A475KE01LCT-ND
17,1,C7,4u7 X5R 25V,https://datasheets.kyocera-avx.com/cx5r.pdf,C_0402_1005_DensityHigh,Unpolarized capacitor,KYOCERA AVX,04023D475MAT2A,Digikey,478-04023D475MAT2ACT-ND
18,2,C56 C106,10u X7R 25V,https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GRM21BZ71E106KE15-01.pdf,C_0805_2012_DensityHighest,Unpolarized capacitor,Murata Electronics,GRM21BZ71E106KE15L,Digikey,490-GRM21BZ71E106KE15LCT-ND
19,2,C30 C38,15u X7R 25V,https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/catalog/mlcc_automotive_general_en.pdf,C_1210_3225_DensityHigh,Unpolarized capacitor,TDK Corporation,CGA6M3X7R1E156M200AB,Digikey,445-175431-1-ND
20,2,C37 C83,22u X7R 10V,https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GRM21BZ71A226ME15-01.pdf,C_0805_2012_DensityHighest,Unpolarized capacitor,Murata Electronics,GRM21BZ71A226ME15L,Digikey,490-GRM21BZ71A226ME15LCT-ND
21,3,C130 C131 C132,1n X7R 1kV,https://connect.kemet.com:7667/gateway/IntelliData-ComponentDocumentation/1.0/download/specsheet/C0603V102KDRAC7867,C_0603_1608_DensityHigh,"Unpolarized capacitor, small symbol",KEMET,C0603V102KDRAC7867,Digikey,399-12306-1-ND
22,15,D3 D4 D5 D6 D7 D8 D9 D10 D11 D14 D15 D19 D20 D21 D22,BAT41KFILM,https://www.st.com/content/ccc/resource/technical/document/datasheet/5b/cd/d8/0a/45/56/41/6c/CD00130227.pdf/files/CD00130227.pdf/jcr:content/translations/en.CD00130227.pdf,D_SOD-523,"100V 1A Schottky Diode, SOD-523-2",STMicroelectronics,BAT41KFILM,Digikey,497-5556-1-ND
23,2,D23 D27,CDSOT23-SM712,https://www.bourns.com/docs/Product-Datasheets/CDSOT23-SM712.pdf,SOT95P230X110-3N,"7V/12V, 400W Asymmetrical TVS Diode Array, SOT-23",Bourns Inc.,CDSOT23-SM712,Digikey,CDSOT23-SM712CT-ND
